ulasan,rating,kategori,nama_produk,ulasan_tokenize,ulasan_normalized,ulasan_stop_removed,ulasan_Stemmed,ulasan_clean,label
gooooooooooooooooooood,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,['gooooooooooooooooooood'],['bagus'],['bagus'],['bagus'],bagus,2
seller merespon dengan cepat dengan proses pengiriman yang juga cepat barang dipacking rapi dan berkualitas baru bnib stapler gun sudah termasuk isinya dan ada   jenis ukuran,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['seller', 'merespon', 'dengan', 'cepat', 'dengan', 'proses', 'pengiriman', 'yang', 'juga', 'cepat', 'barang', 'dipacking', 'rapi', 'dan', 'berkualitas', 'baru', 'bnib', 'stapler', 'gun', 'sudah', 'termasuk', 'isinya', 'dan', 'ada', 'jenis', 'ukuran']","['seller', 'menjawab', 'dengan', 'cepat', 'dengan', 'proses', 'pengiriman', 'yang', 'juga', 'cepat', 'barang', 'dibungkus', 'rapi', 'dan', 'berkualitas', 'baru', 'bnib', 'stapler', 'gun', 'sudah', 'termasuk', 'isinya', 'dan', 'ada', 'jenis', 'ukuran']","['seller', 'cepat', 'proses', 'pengiriman', 'cepat', 'barang', 'dibungkus', 'rapi', 'berkualitas', 'bnib', 'stapler', 'gun', 'isinya', 'jenis', 'ukuran']","['seller', 'cepat', 'proses', 'kirim', 'cepat', 'barang', 'bungkus', 'rapi', 'kualitas', 'bnib', 'stapler', 'gun', 'isi', 'jenis', 'ukur']",seller cepat proses kirim cepat barang bungkus rapi kualitas bnib stapler gun isi jenis ukur,2
sesuai deskripsilumayan lah buat pertama kali,3,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['sesuai', 'deskripsilumayan', 'lah', 'buat', 'pertama', 'kali']","['sesuai', 'lumayan', 'lho', 'buat', 'pertama', 'kali']","['sesuai', 'lumayan', 'lho', 'kali']","['sesuai', 'lumayan', 'lho', 'kali']",sesuai lumayan lho kali,1
barang jelek copot  terus tmpat taro isinya,2,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['barang', 'jelek', 'copot', 'terus', 'tmpat', 'taro', 'isinya']","['barang', 'jelek', 'copot', 'terus', 'tempat', 'taro', 'isinya']","['barang', 'jelek', 'copot', 'taro', 'isinya']","['barang', 'jelek', 'copot', 'taro', 'isi']",barang jelek copot taro isi,0
,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,[],[],[],[],,2
barang dah sampecepat rapi dan respon penjual baik,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['barang', 'dah', 'sampecepat', 'rapi', 'dan', 'respon', 'penjual', 'baik']","['barang', 'sudah', 'sampecepat', 'rapi', 'dan', 'respon', 'penjual', 'baik']","['barang', 'sampecepat', 'rapi', 'respon', 'penjual']","['barang', 'sampecepat', 'rapi', 'respon', 'jual']",barang sampecepat rapi respon jual,2
barang sudah diterima dalam kondisi bagus sudah di test terimakasih,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['barang', 'sudah', 'diterima', 'dalam', 'kondisi', 'bagus', 'sudah', 'di', 'test', 'terimakasih']","['barang', 'sudah', 'diterima', 'dalam', 'kondisi', 'bagus', 'sudah', 'di', 'tes', 'terima kasih']","['barang', 'diterima', 'kondisi', 'bagus', 'tes', 'terima kasih']","['barang', 'terima', 'kondisi', 'bagus', 'tes', 'terima kasih']",barang terima kondisi bagus tes terima kasih,2
produk bagus dan respon cepat,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['produk', 'bagus', 'dan', 'respon', 'cepat']","['produk', 'bagus', 'dan', 'respon', 'cepat']","['produk', 'bagus', 'respon', 'cepat']","['produk', 'bagus', 'respon', 'cepat']",produk bagus respon cepat,2
terima kasih seller barang baru sampaitapi kurang telitimohon perbaiki lg ya supaya gak tertukar no resinya dgn yg lain,3,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['terima', 'kasih', 'seller', 'barang', 'baru', 'sampaitapi', 'kurang', 'telitimohon', 'perbaiki', 'lg', 'ya', 'supaya', 'gak', 'tertukar', 'no', 'resinya', 'dgn', 'yg', 'lain']","['terima', 'kasih', 'seller', 'barang', 'baru', 'sampai', 'kurang', 'teliti', 'perbaiki', 'lagi', 'ya', 'supaya', 'tidak', 'tertukar', 'no', 'resinya', 'dengan', 'yang', 'lain']","['terima', 'kasih', 'seller', 'barang', 'teliti', 'perbaiki', 'ya', 'tertukar', 'no', 'resinya']","['terima', 'kasih', 'seller', 'barang', 'teliti', 'baik', 'ya', 'tukar', 'no', 'resi']",terima kasih seller barang teliti baik ya tukar no resi,1
mantap rekomen seller barang bagus,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['mantap', 'rekomen', 'seller', 'barang', 'bagus']","['mantap', 'rekomen', 'seller', 'barang', 'bagus']","['mantap', 'rekomen', 'seller', 'barang', 'bagus']","['mantap', 'rekomen', 'seller', 'barang', 'bagus']",mantap rekomen seller barang bagus,2
barang sesuai deskripsi pengiriman cepat thanks ,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['barang', 'sesuai', 'deskripsi', 'pengiriman', 'cepat', 'thanks']","['barang', 'sesuai', 'deskripsi', 'pengiriman', 'cepat', 'terima kasih']","['barang', 'sesuai', 'deskripsi', 'pengiriman', 'cepat', 'terima kasih']","['barang', 'sesuai', 'deskripsi', 'kirim', 'cepat', 'terima kasih']",barang sesuai deskripsi kirim cepat terima kasih,2
delivery cepat packing rapih produk sesuai deskripsi gambar trims ya gan,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['delivery', 'cepat', 'packing', 'rapih', 'produk', 'sesuai', 'deskripsi', 'gambar', 'trims', 'ya', 'gan']","['delivery', 'cepat', 'packing', 'rapi', 'produk', 'sesuai', 'deskripsi', 'gambar', 'terima kasih', 'ya', 'juragan']","['delivery', 'cepat', 'packing', 'rapi', 'produk', 'sesuai', 'deskripsi', 'gambar', 'terima kasih', 'ya', 'juragan']","['delivery', 'cepat', 'packing', 'rapi', 'produk', 'sesuai', 'deskripsi', 'gambar', 'terima kasih', 'ya', 'juragan']",delivery cepat packing rapi produk sesuai deskripsi gambar terima kasih ya juragan,2
barang sudah sampai langsung dicoba lancar jaya thanks seller,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['barang', 'sudah', 'sampai', 'langsung', 'dicoba', 'lancar', 'jaya', 'thanks', 'seller']","['barang', 'sudah', 'sampai', 'segera', 'dicoba', 'lancar', 'jaya', 'terima kasih', 'seller']","['barang', 'dicoba', 'lancar', 'jaya', 'terima kasih', 'seller']","['barang', 'coba', 'lancar', 'jaya', 'terima kasih', 'seller']",barang coba lancar jaya terima kasih seller,2
mantaps brng sesuai dan cepat responnya,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['mantaps', 'brng', 'sesuai', 'dan', 'cepat', 'responnya']","['mantaps', 'barang', 'sesuai', 'dan', 'cepat', 'responnya']","['mantaps', 'barang', 'sesuai', 'cepat', 'responnya']","['mantaps', 'barang', 'sesuai', 'cepat', 'responnya']",mantaps barang sesuai cepat responnya,2
barang sesuai gambar respon penjual cepat,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['barang', 'sesuai', 'gambar', 'respon', 'penjual', 'cepat']","['barang', 'sesuai', 'gambar', 'respon', 'penjual', 'cepat']","['barang', 'sesuai', 'gambar', 'respon', 'penjual', 'cepat']","['barang', 'sesuai', 'gambar', 'respon', 'jual', 'cepat']",barang sesuai gambar respon jual cepat,2
barang di terima sesuai spek,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['barang', 'di', 'terima', 'sesuai', 'spek']","['barang', 'di', 'terima', 'sesuai', 'spesifikasi']","['barang', 'terima', 'sesuai', 'spesifikasi']","['barang', 'terima', 'sesuai', 'spesifikasi']",barang terima sesuai spesifikasi,2
barang telah tiba sesuai gambar,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['barang', 'telah', 'tiba', 'sesuai', 'gambar']","['barang', 'telah', 'tiba', 'sesuai', 'gambar']","['barang', 'sesuai', 'gambar']","['barang', 'sesuai', 'gambar']",barang sesuai gambar,2
barang sudah di terima thank,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['barang', 'sudah', 'di', 'terima', 'thank']","['barang', 'sudah', 'di', 'terima', 'terima kasih']","['barang', 'terima', 'terima kasih']","['barang', 'terima', 'terima kasih']",barang terima terima kasih,2
terimakasih gan barang sudah sampai,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['terimakasih', 'gan', 'barang', 'sudah', 'sampai']","['terima kasih', 'juragan', 'barang', 'sudah', 'sampai']","['terima kasih', 'juragan', 'barang']","['terima kasih', 'juragan', 'barang']",terima kasih juragan barang,2
barang sudaj sampai gan tks,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['barang', 'sudaj', 'sampai', 'gan', 'tks']","['barang', 'sudaj', 'sampai', 'juragan', 'tks']","['barang', 'sudaj', 'juragan', 'tks']","['barang', 'sudaj', 'juragan', 'tks']",barang sudaj juragan tks,2
respon cepat pengiriman juga cepat sudah dites kualitas barang ok trims,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['respon', 'cepat', 'pengiriman', 'juga', 'cepat', 'sudah', 'dites', 'kualitas', 'barang', 'ok', 'trims']","['respon', 'cepat', 'pengiriman', 'juga', 'cepat', 'sudah', 'dites', 'kualitas', 'barang', 'oke', 'terima kasih']","['respon', 'cepat', 'pengiriman', 'cepat', 'dites', 'kualitas', 'barang', 'oke', 'terima kasih']","['respon', 'cepat', 'kirim', 'cepat', 'tes', 'kualitas', 'barang', 'oke', 'terima kasih']",respon cepat kirim cepat tes kualitas barang oke terima kasih,2
terimakasihhhhhhh,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,['terimakasihhhhhhh'],['terimakasihhhhhhh'],['terimakasihhhhhhh'],['terimakasihhhhhhh'],terimakasihhhhhhh,2
barang sdh dterima dgn baik trima kasih,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['barang', 'sdh', 'dterima', 'dgn', 'baik', 'trima', 'kasih']","['barang', 'sudah', 'diterima', 'dengan', 'baik', 'terima', 'kasih']","['barang', 'diterima', 'terima', 'kasih']","['barang', 'terima', 'terima', 'kasih']",barang terima terima kasih,2
barang sudah di terima bagus packing rapih makasih pelayanan nya,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['barang', 'sudah', 'di', 'terima', 'bagus', 'packing', 'rapih', 'makasih', 'pelayanan', 'nya']","['barang', 'sudah', 'di', 'terima', 'bagus', 'packing', 'rapi', 'terima kasih', 'pelayanan', 'nya']","['barang', 'terima', 'bagus', 'packing', 'rapi', 'terima kasih', 'pelayanan', 'nya']","['barang', 'terima', 'bagus', 'packing', 'rapi', 'terima kasih', 'layan', 'nya']",barang terima bagus packing rapi terima kasih layan nya,2
barang sudah sampai bahan kokoh sptnyaudah di tes ke kayunempel kuatuntung dapet bonus isi nyatrims gan,4,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['barang', 'sudah', 'sampai', 'bahan', 'kokoh', 'sptnyaudah', 'di', 'tes', 'ke', 'kayunempel', 'kuatuntung', 'dapet', 'bonus', 'isi', 'nyatrims', 'gan']","['barang', 'sudah', 'sampai', 'bahan', 'kokoh', 'sptnyaudah', 'di', 'tes', 'ke', 'kayunempel', 'kuatuntung', 'dapat', 'bonus', 'isi', 'nyatrims', 'juragan']","['barang', 'bahan', 'kokoh', 'sptnyaudah', 'tes', 'kayunempel', 'kuatuntung', 'bonus', 'isi', 'nyatrims', 'juragan']","['barang', 'bahan', 'kokoh', 'sptnyaudah', 'tes', 'kayunempel', 'kuatuntung', 'bonus', 'isi', 'nyatrims', 'juragan']",barang bahan kokoh sptnyaudah tes kayunempel kuatuntung bonus isi nyatrims juragan,2
packing sangat rapih dan barang sesuai yg dipesan,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['packing', 'sangat', 'rapih', 'dan', 'barang', 'sesuai', 'yg', 'dipesan']","['packing', 'sangat', 'rapi', 'dan', 'barang', 'sesuai', 'yang', 'dipesan']","['packing', 'rapi', 'barang', 'sesuai', 'dipesan']","['packing', 'rapi', 'barang', 'sesuai', 'pes']",packing rapi barang sesuai pes,2
mantap ajib top joss,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['mantap', 'ajib', 'top', 'joss']","['mantap', 'hebat', 'top', 'joss']","['mantap', 'hebat', 'top', 'joss']","['mantap', 'hebat', 'top', 'joss']",mantap hebat top joss,2
pengiriman amp packaging bagus sesuai foto amp deskripsi staple gun agak berat ketika dipake,4,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['pengiriman', 'amp', 'packaging', 'bagus', 'sesuai', 'foto', 'amp', 'deskripsi', 'staple', 'gun', 'agak', 'berat', 'ketika', 'dipake']","['pengiriman', 'amp', 'packaging', 'bagus', 'sesuai', 'foto', 'amp', 'deskripsi', 'staple', 'gun', 'sedikit', 'berat', 'ketika', 'dipakai']","['pengiriman', 'amp', 'packaging', 'bagus', 'sesuai', 'foto', 'amp', 'deskripsi', 'staple', 'gun', 'berat', 'dipakai']","['kirim', 'amp', 'packaging', 'bagus', 'sesuai', 'foto', 'amp', 'deskripsi', 'staple', 'gun', 'berat', 'pakai']",kirim amp packaging bagus sesuai foto amp deskripsi staple gun berat pakai,2
oke sesuai pesanan,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['oke', 'sesuai', 'pesanan']","['oke', 'sesuai', 'pesanan']","['oke', 'sesuai', 'pesanan']","['oke', 'sesuai', 'pesan']",oke sesuai pesan,2
makasih ganbarang sesuai ,4,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['makasih', 'ganbarang', 'sesuai']","['terima kasih', 'ganbarang', 'sesuai']","['terima kasih', 'ganbarang', 'sesuai']","['terima kasih', 'ganbarang', 'sesuai']",terima kasih ganbarang sesuai,2
barang bagus kalau beli isinya kira  di toko atk ada yang jual nda ya,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['barang', 'bagus', 'kalau', 'beli', 'isinya', 'kira', 'di', 'toko', 'atk', 'ada', 'yang', 'jual', 'nda', 'ya']","['barang', 'bagus', 'kalau', 'beli', 'isinya', 'kira', 'di', 'toko', 'atk', 'ada', 'yang', 'jual', 'tidak', 'ya']","['barang', 'bagus', 'beli', 'isinya', 'toko', 'atk', 'jual', 'ya']","['barang', 'bagus', 'beli', 'isi', 'toko', 'atk', 'jual', 'ya']",barang bagus beli isi toko atk jual ya,2
trims yaaa barangx sdh sampai,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['trims', 'yaaa', 'barangx', 'sdh', 'sampai']","['terima kasih', 'ya', 'barangnya', 'sudah', 'sampai']","['terima kasih', 'ya', 'barangnya']","['terima kasih', 'ya', 'barang']",terima kasih ya barang,2
barang sesuai walaupun belum di cobamakasih tokopedia,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['barang', 'sesuai', 'walaupun', 'belum', 'di', 'cobamakasih', 'tokopedia']","['barang', 'sesuai', 'walaupun', 'belum', 'di', 'terima kasih', 'tokopedia']","['barang', 'sesuai', 'terima kasih', 'tokopedia']","['barang', 'sesuai', 'terima kasih', 'tokopedia']",barang sesuai terima kasih tokopedia,2
packing bagus barang sesuai diskripsi,3,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['packing', 'bagus', 'barang', 'sesuai', 'diskripsi']","['packing', 'bagus', 'barang', 'sesuai', 'diskripsi']","['packing', 'bagus', 'barang', 'sesuai', 'diskripsi']","['packing', 'bagus', 'barang', 'sesuai', 'skripsi']",packing bagus barang sesuai skripsi,1
mantab fast respon,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['mantab', 'fast', 'respon']","['mantap', 'fast', 'respon']","['mantap', 'fast', 'respon']","['mantap', 'fast', 'respon']",mantap fast respon,2
barang sudah sampai belum tak coba,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['barang', 'sudah', 'sampai', 'belum', 'tak', 'coba']","['barang', 'sudah', 'sampai', 'belum', 'tak', 'coba']","['barang', 'coba']","['barang', 'coba']",barang coba,2
baguuuus sesuai deskripsi dan gambar belum dicoba sih semoga ada masalah,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['baguuuus', 'sesuai', 'deskripsi', 'dan', 'gambar', 'belum', 'dicoba', 'sih', 'semoga', 'ada', 'masalah']","['bagus', 'sesuai', 'deskripsi', 'dan', 'gambar', 'belum', 'dicoba', 'sih', 'semoga', 'ada', 'masalah']","['bagus', 'sesuai', 'deskripsi', 'gambar', 'dicoba', 'sih', 'semoga']","['bagus', 'sesuai', 'deskripsi', 'gambar', 'coba', 'sih', 'moga']",bagus sesuai deskripsi gambar coba sih moga,2
produk bekerja dengan baik amp kuat,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['produk', 'bekerja', 'dengan', 'baik', 'amp', 'kuat']","['produk', 'bekerja', 'dengan', 'baik', 'amp', 'kuat']","['produk', 'amp', 'kuat']","['produk', 'amp', 'kuat']",produk amp kuat,2
beli staples gak jual isinya hanya sekali pake ckckck,1,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['beli', 'staples', 'gak', 'jual', 'isinya', 'hanya', 'sekali', 'pake', 'ckckck']","['beli', 'staples', 'tidak', 'jual', 'isinya', 'hanya', 'sekali', 'pakai', 'hehe']","['beli', 'staples', 'jual', 'isinya', 'pakai', 'hehe']","['beli', 'staples', 'jual', 'isi', 'pakai', 'hehe']",beli staples jual isi pakai hehe,0
bagusbanget,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,['bagusbanget'],['bagus'],['bagus'],['bagus'],bagus,2
terimakasih barang sudah sampai,3,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['terimakasih', 'barang', 'sudah', 'sampai']","['terima kasih', 'barang', 'sudah', 'sampai']","['terima kasih', 'barang']","['terima kasih', 'barang']",terima kasih barang,1
puas pisan cepet pisan,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['puas', 'pisan', 'cepet', 'pisan']","['puas', 'banget', 'cepat', 'banget']","['puas', 'banget', 'cepat', 'banget']","['puas', 'banget', 'cepat', 'banget']",puas banget cepat banget,2
barang bagus sesuai deskripsi packing rapi pengiriman cepat semoga tambah sukses gan tks,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['barang', 'bagus', 'sesuai', 'deskripsi', 'packing', 'rapi', 'pengiriman', 'cepat', 'semoga', 'tambah', 'sukses', 'gan', 'tks']","['barang', 'bagus', 'sesuai', 'deskripsi', 'packing', 'rapi', 'pengiriman', 'cepat', 'semoga', 'tambah', 'sukses', 'juragan', 'tks']","['barang', 'bagus', 'sesuai', 'deskripsi', 'packing', 'rapi', 'pengiriman', 'cepat', 'semoga', 'sukses', 'juragan', 'tks']","['barang', 'bagus', 'sesuai', 'deskripsi', 'packing', 'rapi', 'kirim', 'cepat', 'moga', 'sukses', 'juragan', 'tks']",barang bagus sesuai deskripsi packing rapi kirim cepat moga sukses juragan tks,2
kirimannya sudah sampe makasih,4,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['kirimannya', 'sudah', 'sampe', 'makasih']","['kirimannya', 'sudah', 'sampai', 'terima kasih']","['kirimannya', 'terima kasih']","['kirim', 'terima kasih']",kirim terima kasih,2
barang sesuai pesanan,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['barang', 'sesuai', 'pesanan']","['barang', 'sesuai', 'pesanan']","['barang', 'sesuai', 'pesanan']","['barang', 'sesuai', 'pesan']",barang sesuai pesan,2
barang sdh sampai dgn cepat sdh dicoba dan hasilnya ok sukses terus boss,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['barang', 'sdh', 'sampai', 'dgn', 'cepat', 'sdh', 'dicoba', 'dan', 'hasilnya', 'ok', 'sukses', 'terus', 'boss']","['barang', 'sudah', 'sampai', 'dengan', 'cepat', 'sudah', 'dicoba', 'dan', 'hasilnya', 'oke', 'sukses', 'terus', 'bos']","['barang', 'cepat', 'dicoba', 'hasilnya', 'oke', 'sukses', 'bos']","['barang', 'cepat', 'coba', 'hasil', 'oke', 'sukses', 'bos']",barang cepat coba hasil oke sukses bos,2
sesuai gambar tp blm dicoba semoga memuaskanthanks,4,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['sesuai', 'gambar', 'tp', 'blm', 'dicoba', 'semoga', 'memuaskanthanks']","['sesuai', 'gambar', 'tetapi', 'belum', 'dicoba', 'semoga', 'memuaskan']","['sesuai', 'gambar', 'dicoba', 'semoga', 'memuaskan']","['sesuai', 'gambar', 'coba', 'moga', 'muas']",sesuai gambar coba moga muas,2
barangnya kurang bagus atomnya gak masuk semua,3,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['barangnya', 'kurang', 'bagus', 'atomnya', 'gak', 'masuk', 'semua']","['barangnya', 'kurang', 'bagus', 'atomnya', 'tidak', 'masuk', 'semua']","['barangnya', 'bagus', 'atomnya', 'masuk']","['barang', 'bagus', 'atom', 'masuk']",barang bagus atom masuk,1
sangat cepat responnyagood job thanks,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['sangat', 'cepat', 'responnyagood', 'job', 'thanks']","['sangat', 'cepat', 'responnyagood', 'job', 'terima kasih']","['cepat', 'responnyagood', 'job', 'terima kasih']","['cepat', 'responnyagood', 'job', 'terima kasih']",cepat responnyagood job terima kasih,2
sudah saya terima dlm keadaan baik trims,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['sudah', 'saya', 'terima', 'dlm', 'keadaan', 'baik', 'trims']","['sudah', 'saya', 'terima', 'dalam', 'keadaan', 'baik', 'terima kasih']","['terima', 'terima kasih']","['terima', 'terima kasih']",terima terima kasih,2
terima kasih thank you danke gracias kittos syukron,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['terima', 'kasih', 'thank', 'you', 'danke', 'gracias', 'kittos', 'syukron']","['terima', 'kasih', 'terima kasih', 'kamu', 'danke', 'gracias', 'kittos', 'syukron']","['terima', 'kasih', 'terima kasih', 'danke', 'gracias', 'kittos', 'syukron']","['terima', 'kasih', 'terima kasih', 'danke', 'gracias', 'kittos', 'syukron']",terima kasih terima kasih danke gracias kittos syukron,2
brg sesuai gambar pelayanan oke,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['brg', 'sesuai', 'gambar', 'pelayanan', 'oke']","['barang', 'sesuai', 'gambar', 'pelayanan', 'oke']","['barang', 'sesuai', 'gambar', 'pelayanan', 'oke']","['barang', 'sesuai', 'gambar', 'layan', 'oke']",barang sesuai gambar layan oke,2
barang sdh sampai,4,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['barang', 'sdh', 'sampai']","['barang', 'sudah', 'sampai']",['barang'],['barang'],barang,2
barang sudah di terima dengan baik,4,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['barang', 'sudah', 'di', 'terima', 'dengan', 'baik']","['barang', 'sudah', 'di', 'terima', 'dengan', 'baik']","['barang', 'terima']","['barang', 'terima']",barang terima,2
barang sesuai gambar kemasan baik dan pengiriman cepat terima kasih,5,pertukangan,Staple Gun / Staples Tembak / Staples Jok / Hekter MOLLAR 3 in 1,"['barang', 'sesuai', 'gambar', 'kemasan', 'baik', 'dan', 'pengiriman', 'cepat', 'terima', 'kasih']","['barang', 'sesuai', 'gambar', 'kemasan', 'baik', 'dan', 'pengiriman', 'cepat', 'terima', 'kasih']","['barang', 'sesuai', 'gambar', 'kemasan', 'pengiriman', 'cepat', 'terima', 'kasih']","['barang', 'sesuai', 'gambar', 'kemas', 'kirim', 'cepat', 'terima', 'kasih']",barang sesuai gambar kemas kirim cepat terima kasih,2
barang sesuai deskripsicuma terlambat di pengirimansemoga berkah,4,pertukangan,Isi Paku Tembak F30 Merk MEITE Refill Staples Nail Gun 30mm Berkualita,"['barang', 'sesuai', 'deskripsicuma', 'terlambat', 'di', 'pengirimansemoga', 'berkah']","['barang', 'sesuai', 'deskripsicuma', 'terlambat', 'di', 'pengirimansemoga', 'berkah']","['barang', 'sesuai', 'deskripsicuma', 'terlambat', 'pengirimansemoga', 'berkah']","['barang', 'sesuai', 'deskripsicuma', 'lambat', 'pengirimansemoga', 'berkah']",barang sesuai deskripsicuma lambat pengirimansemoga berkah,2
